Longitude,Latitude,Year,JANMAXTEMP,FEBMAXTEMP,MARMAXTEMP,Prcp,AUGMAXTEMP,JANMINTEMP,FEBMINTEMP,MARMINTEMP,RISK,Acres,PRESENT,FOREST
-87.16008506,32.82386787,2016,12.27885723,16.75966072,21.65682983,1466.067253,32.69953537,0.411343664,3.733015776,8.948612213,0,0.19,1,0.815770328
-87.1593,34.32483,2018,8.170014,16.76755,16.50399,1592.16,29.56986,-4.394502,5.656295,4.008939,0,0.85,1,0.661800623
-87.15925,32.7681,2018,11.23307,20.12046,19.88257,1776.342,31.21387,-1.483747,8.629299,6.299491,0,0.1,1,0.815770328
-87.15898,32.76773,2018,11.23307,20.12046,19.88257,1776.342,31.21387,-1.483747,8.629299,6.299491,0,0.1,1,0.815770328
-87.15871,34.37135,2018,8.225018,16.85689,16.585,1581.386,29.68398,-4.304841,5.679651,4.090023,0,0.1,1,0.661800623
-87.15847,32.76774,2018,11.23307,20.12046,19.88257,1776.342,31.21387,-1.483747,8.629299,6.299491,0,2.99,1,0.815770328
-87.15789506,32.76855088,2016,12.25548553,16.71660995,21.56608963,1469.548072,32.70734024,0.399234474,3.717529535,8.945672989,0,0.06,1,0.815770328
-87.15666,32.72154,2018,11.0952,20.04427,19.80882,1833.975,31.13947,-1.606488,8.537468,6.196627,0,0.1,1,0.803610325
-87.15467,34.33125,2018,8.072476,16.59618,16.36119,1605.337,29.51053,-4.49797,5.535249,3.896279,0,0.1,1,0.661800623
-87.15451706,32.82697286,2016,12.27885723,16.75966072,21.65682983,1466.067253,32.69953537,0.411343664,3.733015776,8.948612213,0,0.12,1,0.858392656
-87.15444706,32.82693287,2016,12.27885723,16.75966072,21.65682983,1466.067253,32.69953537,0.411343664,3.733015776,8.948612213,0,0.1,1,0.858392656
-87.15441306,32.84979986,2016,12.32170963,16.85345268,21.71774673,1489.599528,32.82693863,0.46201691,3.788731575,9.039987564,0,0.12,1,0.777337372
-87.15428206,32.82732787,2016,12.27885723,16.75966072,21.65682983,1466.067253,32.69953537,0.411343664,3.733015776,8.948612213,0,0.19,1,0.858392656
